model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.7272727272727273,9,576,73,17308,1956,0.5413614241337417
l2_logistic,0.8181818181818182,0,395,45,17363,1901,0.5664511494252873
l2_logistic,0.8181818181818182,1,400,40,17352,1912,0.49282852564102564
l2_logistic,0.8181818181818182,2,400,40,17308,1956,0.5488778705636743
l2_logistic,0.8181818181818182,3,391,49,17404,1860,0.5278626083232851
l2_logistic,0.8181818181818182,4,395,45,17329,1935,0.5835155790711346
l2_logistic,0.8181818181818182,5,389,51,17317,1947,0.5311595102175891
l2_logistic,0.8181818181818182,6,408,32,17367,1897,0.5547922252010724
l2_logistic,0.8181818181818182,7,390,50,17320,1944,0.5290601900739176
l2_logistic,0.8181818181818182,8,396,44,17308,1956,0.5074529288702929
l2_logistic,0.8181818181818182,9,396,44,17308,1956,0.5188997717763408
l2_logistic,0.9090909090909092,0,208,19,17363,1901,0.5566306840427317
l2_logistic,0.9090909090909092,1,205,22,17352,1912,0.5132756132756133
l2_logistic,0.9090909090909092,2,206,21,17308,1956,0.5006275378368401
l2_logistic,0.9090909090909092,3,204,23,17404,1860,0.4510425788738728
l2_logistic,0.9090909090909092,4,201,26,17329,1935,0.558629165491397
l2_logistic,0.9090909090909092,5,200,27,17317,1947,0.5074074074074073
l2_logistic,0.9090909090909092,6,211,16,17367,1897,0.556984316852738
l2_logistic,0.9090909090909092,7,201,26,17320,1944,0.5395644501483917
l2_logistic,0.9090909090909092,8,203,24,17308,1956,0.5149025189786058
l2_logistic,0.9090909090909092,9,204,23,17308,1956,0.46143637958568573
xgboost,0.09090909090909091,0,4214,488,17363,1901,0.5517022844082466
xgboost,0.09090909090909091,1,4235,467,17352,1912,0.5556745182012848
xgboost,0.09090909090909091,2,4219,483,17308,1956,0.5918654483252022
xgboost,0.09090909090909091,3,4263,439,17404,1860,0.558209192089372
xgboost,0.09090909090909091,4,4218,484,17329,1935,0.5588536831253452
xgboost,0.09090909090909091,5,4199,503,17317,1947,0.5508899511518149
xgboost,0.09090909090909091,6,4269,433,17367,1897,0.5524134264692891
xgboost,0.09090909090909091,7,4232,470,17320,1944,0.5557760039262103
xgboost,0.09090909090909091,8,4227,475,17308,1956,0.5550239880592771
xgboost,0.09090909090909091,9,4242,460,17308,1956,0.5754206870495233
xgboost,0.18181818181818182,0,2784,336,17363,1901,0.5434571352502663
xgboost,0.18181818181818182,1,2814,306,17352,1912,0.5143599573494819
xgboost,0.18181818181818182,2,2812,308,17308,1956,0.5611189477997731
xgboost,0.18181818181818182,3,2831,289,17404,1860,0.5438616005057056
xgboost,0.18181818181818182,4,2795,325,17329,1935,0.550583850931677
