metric,ratio,score_mean,score_se,is_min,is_1se,outer_fold,task,model
auc,0.076706,0.71051,0.01465,False,False,8,y,sparse_logistic
auc,0.05,0.69647,0.01369,False,False,8,y,sparse_logistic
auc,1.0,0.51218,0.0038,False,False,8,w_class,sparse_logistic
auc,0.651836,0.54891,0.00621,False,False,8,w_class,sparse_logistic
auc,0.424891,0.56244,0.00124,False,False,8,w_class,sparse_logistic
auc,0.276959,0.57035,0.00442,False,False,8,w_class,sparse_logistic
auc,0.180532,0.58027,0.00247,False,False,8,w_class,sparse_logistic
auc,0.117677,0.58916,0.00124,False,False,8,w_class,sparse_logistic
auc,0.076706,0.59418,0.00155,False,True,8,w_class,sparse_logistic
auc,0.05,0.59582,0.00181,True,False,8,w_class,sparse_logistic
auc,1.0,0.77005,0.02011,True,True,9,y,sparse_logistic
auc,0.651836,0.76829,0.01896,False,False,9,y,sparse_logistic
auc,0.424891,0.76244,0.01813,False,False,9,y,sparse_logistic
auc,0.276959,0.75381,0.01607,False,False,9,y,sparse_logistic
auc,0.180532,0.7415,0.01125,False,False,9,y,sparse_logistic
auc,0.117677,0.72262,0.00769,False,False,9,y,sparse_logistic
auc,0.076706,0.7057,0.00758,False,False,9,y,sparse_logistic
auc,0.05,0.68999,0.00739,False,False,9,y,sparse_logistic
auc,1.0,0.5175,0.00338,False,False,9,w_class,sparse_logistic
auc,0.651836,0.54216,0.00522,False,False,9,w_class,sparse_logistic
auc,0.424891,0.55748,0.00517,False,False,9,w_class,sparse_logistic
auc,0.276959,0.56745,0.00532,False,False,9,w_class,sparse_logistic
auc,0.180532,0.57755,0.00503,False,False,9,w_class,sparse_logistic
auc,0.117677,0.58646,0.00412,False,False,9,w_class,sparse_logistic
auc,0.076706,0.5902,0.00368,False,True,9,w_class,sparse_logistic
auc,0.05,0.59185,0.00321,True,False,9,w_class,sparse_logistic
