arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
2_presence_concat_quantile,w_class,xgb_clf,5,test,1947,952,995,0.5829663020987289,0.5675803799059962
2_presence_concat_quantile,w_class,xgb_clf,6,test,1897,907,990,0.6050972792979408,0.572090325541647
2_presence_concat_quantile,w_class,xgb_clf,7,test,1944,954,990,0.5984943777396607,0.5754114419487091
2_presence_concat_quantile,w_class,xgb_clf,8,test,1956,953,1003,0.6006952908326437,0.5703630402530262
2_presence_concat_quantile,w_class,xgb_clf,9,test,1956,965,991,0.5858911551110251,0.5878975566249771
2_presence_concat_quantile,w_class,mlp_clf_w_class,0,test,1901,960,941,0.5788135405596883,0.5739447332627565
2_presence_concat_quantile,w_class,mlp_clf_w_class,1,test,1912,947,965,0.601995940274989,0.5843201689670706
2_presence_concat_quantile,w_class,mlp_clf_w_class,2,test,1956,963,993,0.5934051339647523,0.5601239135566062
2_presence_concat_quantile,w_class,mlp_clf_w_class,3,test,1860,902,958,0.5959720685648686,0.5751420035538882
2_presence_concat_quantile,w_class,mlp_clf_w_class,4,test,1935,948,987,0.5984988393418235,0.5759297643945541
2_presence_concat_quantile,w_class,mlp_clf_w_class,5,test,1947,952,995,0.6000665090156665,0.5795228418258216
2_presence_concat_quantile,w_class,mlp_clf_w_class,6,test,1897,907,990,0.6027440891828985,0.570298723349332
2_presence_concat_quantile,w_class,mlp_clf_w_class,7,test,1944,954,990,0.5886199521419648,0.5747604883687021
2_presence_concat_quantile,w_class,mlp_clf_w_class,8,test,1956,953,1003,0.5868313213559742,0.5592693996777065
2_presence_concat_quantile,w_class,mlp_clf_w_class,9,test,1956,965,991,0.5903619623241296,0.5765553921639957
3_presence_concat_equaldim,y,sparse_logistic,0,test,1901,56,1845,0.6032133178474642,0.08316773658872836
3_presence_concat_equaldim,y,sparse_logistic,1,test,1912,44,1868,0.6822926805528517,0.07551360043408407
3_presence_concat_equaldim,y,sparse_logistic,2,test,1956,51,1905,0.5754515979620195,0.06085773910513287
3_presence_concat_equaldim,y,sparse_logistic,3,test,1860,48,1812,0.590036331861663,0.09119468194170524
3_presence_concat_equaldim,y,sparse_logistic,4,test,1935,43,1892,0.6873863021780815,0.08279192491380322
3_presence_concat_equaldim,y,sparse_logistic,5,test,1947,46,1901,0.6728380943668093,0.12420049871591456
3_presence_concat_equaldim,y,sparse_logistic,6,test,1897,45,1852,0.6181185505159587,0.04732439127460814
3_presence_concat_equaldim,y,sparse_logistic,7,test,1944,46,1898,0.5506081916891924,0.03693437146924913
3_presence_concat_equaldim,y,sparse_logistic,8,test,1956,51,1905,0.519005712521229,0.046675160187250105
3_presence_concat_equaldim,y,sparse_logistic,9,test,1956,48,1908,0.5873296645702306,0.08044095050470658
3_presence_concat_equaldim,y,xgb_clf,0,test,1901,56,1845,0.7500774293457221,0.18203486303995556
3_presence_concat_equaldim,y,xgb_clf,1,test,1912,44,1868,0.7888115631691649,0.15061379083495677
3_presence_concat_equaldim,y,xgb_clf,2,test,1956,51,1905,0.7807112346250836,0.15284347149521463
3_presence_concat_equaldim,y,xgb_clf,3,test,1860,48,1812,0.7793299300956585,0.13314879966407442
3_presence_concat_equaldim,y,xgb_clf,4,test,1935,43,1892,0.7691995673336939,0.11116286234794583
3_presence_concat_equaldim,y,xgb_clf,5,test,1947,46,1901,0.7790979575966882,0.20830275788635474
3_presence_concat_equaldim,y,xgb_clf,6,test,1897,45,1852,0.7302255819534437,0.08852443100290554
3_presence_concat_equaldim,y,xgb_clf,7,test,1944,46,1898,0.7621065652632061,0.07016963500533524
3_presence_concat_equaldim,y,xgb_clf,8,test,1956,51,1905,0.6971128608923884,0.0994830728065374
3_presence_concat_equaldim,y,xgb_clf,9,test,1956,48,1908,0.708224143955276,0.11054548441070422
3_presence_concat_equaldim,y,mlp_clf_y,0,test,1901,56,1845,0.7255081300813007,0.17432853573669035
3_presence_concat_equaldim,y,mlp_clf_y,1,test,1912,44,1868,0.8407448413470897,0.2694986059400875
3_presence_concat_equaldim,y,mlp_clf_y,2,test,1956,51,1905,0.7987185425351244,0.2972320016721814
3_presence_concat_equaldim,y,mlp_clf_y,3,test,1860,48,1812,0.7507933222958058,0.18841636490277056
3_presence_concat_equaldim,y,mlp_clf_y,4,test,1935,43,1892,0.7854675746103545,0.21592958712711924
3_presence_concat_equaldim,y,mlp_clf_y,5,test,1947,46,1901,0.7318916817235779,0.23613449398897154
3_presence_concat_equaldim,y,mlp_clf_y,6,test,1897,45,1852,0.7269138468922487,0.20035102639240665
3_presence_concat_equaldim,y,mlp_clf_y,7,test,1944,46,1898,0.7434942960553442,0.13152438814214926
3_presence_concat_equaldim,y,mlp_clf_y,8,test,1956,51,1905,0.6855128403067264,0.1282295508964549
3_presence_concat_equaldim,y,mlp_clf_y,9,test,1956,48,1908,0.7128100978336828,0.1286800359436356
3_presence_concat_equaldim,w_class,sparse_logistic,0,test,1901,960,941,0.5755047821466525,0.581886906581857
3_presence_concat_equaldim,w_class,sparse_logistic,1,test,1912,947,965,0.6159401655623704,0.6007227360842803
3_presence_concat_equaldim,w_class,sparse_logistic,2,test,1956,963,993,0.5866998375962997,0.5645330505659614
3_presence_concat_equaldim,w_class,sparse_logistic,3,test,1860,902,958,0.613085511667415,0.5896334923498237
3_presence_concat_equaldim,w_class,sparse_logistic,4,test,1935,948,987,0.6178410047922571,0.6031970163357997
3_presence_concat_equaldim,w_class,sparse_logistic,5,test,1947,952,995,0.5957381445040327,0.57576298219402
3_presence_concat_equaldim,w_class,sparse_logistic,6,test,1897,907,990,0.6066631029144811,0.5787786320476768
3_presence_concat_equaldim,w_class,sparse_logistic,7,test,1944,954,990,0.5950225525697225,0.5888533346416517
3_presence_concat_equaldim,w_class,sparse_logistic,8,test,1956,953,1003,0.5939034941345952,0.5785451529507033
3_presence_concat_equaldim,w_class,sparse_logistic,9,test,1956,965,991,0.6065281837051599,0.6023523084539854
3_presence_concat_equaldim,w_class,xgb_clf,0,test,1901,960,941,0.5819839266737513,0.5758868900555658
3_presence_concat_equaldim,w_class,xgb_clf,1,test,1912,947,965,0.6056770494225014,0.5942005668721095
3_presence_concat_equaldim,w_class,xgb_clf,2,test,1956,963,993,0.5929063151301059,0.569009855074088
3_presence_concat_equaldim,w_class,xgb_clf,3,test,1860,902,958,0.614146711784066,0.5948720501212761
3_presence_concat_equaldim,w_class,xgb_clf,4,test,1935,948,987,0.6114178412185414,0.5878510254944485
3_presence_concat_equaldim,w_class,xgb_clf,5,test,1947,952,995,0.5933438199400364,0.5748181292785791
3_presence_concat_equaldim,w_class,xgb_clf,6,test,1897,907,990,0.6165313554508705,0.5797047993989223
3_presence_concat_equaldim,w_class,xgb_clf,7,test,1944,954,990,0.5939023357262352,0.5833500825401841
3_presence_concat_equaldim,w_class,xgb_clf,8,test,1956,953,1003,0.5934327134022905,0.5673339783756435
3_presence_concat_equaldim,w_class,xgb_clf,9,test,1956,965,991,0.5979818365287588,0.5957332813484368
3_presence_concat_equaldim,w_class,mlp_clf_w_class,0,test,1901,960,941,0.5739760449876018,0.5703929738369056
3_presence_concat_equaldim,w_class,mlp_clf_w_class,1,test,1912,947,965,0.6021031782941495,0.5879818296561801
3_presence_concat_equaldim,w_class,mlp_clf_w_class,2,test,1956,963,993,0.5972252287298734,0.5612646036316744
3_presence_concat_equaldim,w_class,mlp_clf_w_class,3,test,1860,902,958,0.5966490610056984,0.5807132265704292
3_presence_concat_equaldim,w_class,mlp_clf_w_class,4,test,1935,948,987,0.5973777247679752,0.5819644392988779
3_presence_concat_equaldim,w_class,mlp_clf_w_class,5,test,1947,952,995,0.5921477133566995,0.5713871706464043
3_presence_concat_equaldim,w_class,mlp_clf_w_class,6,test,1897,907,990,0.6013029968928536,0.5689633871209595
3_presence_concat_equaldim,w_class,mlp_clf_w_class,7,test,1944,954,990,0.5889037121741525,0.5868220384989753
3_presence_concat_equaldim,w_class,mlp_clf_w_class,8,test,1956,953,1003,0.600146046644955,0.5839989923165806
3_presence_concat_equaldim,w_class,mlp_clf_w_class,9,test,1956,965,991,0.5926917386007748,0.5942051364324235
4_full_presence_sum_equaldim,y,sparse_logistic,0,test,1901,56,1845,0.6201025938830816,0.08392363885591528
4_full_presence_sum_equaldim,y,sparse_logistic,1,test,1912,44,1868,0.6925734864707027,0.0760709494938138
4_full_presence_sum_equaldim,y,sparse_logistic,2,test,1956,51,1905,0.6019556378982038,0.06217032055440001
4_full_presence_sum_equaldim,y,sparse_logistic,3,test,1860,48,1812,0.6009013980868285,0.09176393424361372
4_full_presence_sum_equaldim,y,sparse_logistic,4,test,1935,43,1892,0.7043733713555238,0.08309641118332506
4_full_presence_sum_equaldim,y,sparse_logistic,5,test,1947,46,1901,0.6842279806966585,0.12451543838875692
4_full_presence_sum_equaldim,y,sparse_logistic,6,test,1897,45,1852,0.6295176385889129,0.04796316042637945
4_full_presence_sum_equaldim,y,sparse_logistic,7,test,1944,46,1898,0.58108077152151,0.038265910547823766
4_full_presence_sum_equaldim,y,sparse_logistic,8,test,1956,51,1905,0.5391487828727292,0.04743416957510282
4_full_presence_sum_equaldim,y,sparse_logistic,9,test,1956,48,1908,0.5932477288609364,0.08079351438957866
4_full_presence_sum_equaldim,y,xgb_clf,0,test,1901,56,1845,0.7620789779326365,0.21479737536033763
4_full_presence_sum_equaldim,y,xgb_clf,1,test,1912,44,1868,0.8225009733307378,0.16851380264916027
4_full_presence_sum_equaldim,y,xgb_clf,2,test,1956,51,1905,0.8185168030466781,0.2010888818808113
4_full_presence_sum_equaldim,y,xgb_clf,3,test,1860,48,1812,0.8107638888888891,0.1626431932282018
4_full_presence_sum_equaldim,y,xgb_clf,4,test,1935,43,1892,0.7813068489109593,0.09221578893821059
4_full_presence_sum_equaldim,y,xgb_clf,5,test,1947,46,1901,0.7992360999931387,0.26046951168251187
4_full_presence_sum_equaldim,y,xgb_clf,6,test,1897,45,1852,0.7818214542836573,0.10694664940156566
4_full_presence_sum_equaldim,y,xgb_clf,7,test,1944,46,1898,0.7889540477390389,0.08130208862198345
4_full_presence_sum_equaldim,y,xgb_clf,8,test,1956,51,1905,0.7230302094591118,0.09639453278245498
4_full_presence_sum_equaldim,y,xgb_clf,9,test,1956,48,1908,0.7293195317959469,0.12569801943058564
4_full_presence_sum_equaldim,y,mlp_clf_y,0,test,1901,56,1845,0.7395954316686023,0.1979660261431735
4_full_presence_sum_equaldim,y,mlp_clf_y,1,test,1912,44,1868,0.8364561027837258,0.2381602252909526
4_full_presence_sum_equaldim,y,mlp_clf_y,2,test,1956,51,1905,0.8107457156090784,0.2833497226206966
4_full_presence_sum_equaldim,y,mlp_clf_y,3,test,1860,48,1812,0.7748344370860927,0.17615291934009006
4_full_presence_sum_equaldim,y,mlp_clf_y,4,test,1935,43,1892,0.8501216873985938,0.2524614569992683
4_full_presence_sum_equaldim,y,mlp_clf_y,5,test,1947,46,1901,0.7814651327676508,0.2088406193563733
4_full_presence_sum_equaldim,y,mlp_clf_y,6,test,1897,45,1852,0.7688264938804895,0.23842672593260797
4_full_presence_sum_equaldim,y,mlp_clf_y,7,test,1944,46,1898,0.8324208549044761,0.15073321556299002
4_full_presence_sum_equaldim,y,mlp_clf_y,8,test,1956,51,1905,0.7646441253666821,0.160508230670854
4_full_presence_sum_equaldim,y,mlp_clf_y,9,test,1956,48,1908,0.7301439116002795,0.14549063919789215
4_full_presence_sum_equaldim,w_class,sparse_logistic,0,test,1901,960,941,0.5757660290471129,0.5820556218848596
4_full_presence_sum_equaldim,w_class,sparse_logistic,1,test,1912,947,965,0.6160999283256097,0.6008253952557859
4_full_presence_sum_equaldim,w_class,sparse_logistic,2,test,1956,963,993,0.5868023202918875,0.5645960213389218
4_full_presence_sum_equaldim,w_class,sparse_logistic,3,test,1860,902,958,0.6131422170171598,0.5898671086975846
4_full_presence_sum_equaldim,w_class,sparse_logistic,4,test,1935,948,987,0.6179232982357141,0.6032198827758635
4_full_presence_sum_equaldim,w_class,sparse_logistic,5,test,1947,952,995,0.5958204889996199,0.5756868525872489
4_full_presence_sum_equaldim,w_class,sparse_logistic,6,test,1897,907,990,0.6068390631786442,0.5788066755956567
4_full_presence_sum_equaldim,w_class,sparse_logistic,7,test,1944,954,990,0.5953836054464986,0.5891623821684554
4_full_presence_sum_equaldim,w_class,sparse_logistic,8,test,1956,953,1003,0.593858508420175,0.5784033587093438
4_full_presence_sum_equaldim,w_class,sparse_logistic,9,test,1956,965,991,0.606553280038481,0.6024511916553552
4_full_presence_sum_equaldim,w_class,xgb_clf,0,test,1901,960,941,0.5597779401346086,0.5603033905040236
4_full_presence_sum_equaldim,w_class,xgb_clf,1,test,1912,947,965,0.5967664454426578,0.5831611744132943
4_full_presence_sum_equaldim,w_class,xgb_clf,2,test,1956,963,993,0.5853503078140965,0.5550556447219532
4_full_presence_sum_equaldim,w_class,xgb_clf,3,test,1860,902,958,0.5940151553726584,0.5730364190461836
4_full_presence_sum_equaldim,w_class,xgb_clf,4,test,1935,948,987,0.6070226232157285,0.590572698361727
4_full_presence_sum_equaldim,w_class,xgb_clf,5,test,1947,952,995,0.5762599763523499,0.5598602172172489
4_full_presence_sum_equaldim,w_class,xgb_clf,6,test,1897,907,990,0.6087634893588587,0.5714078209677999
4_full_presence_sum_equaldim,w_class,xgb_clf,7,test,1944,954,990,0.5762689790991677,0.5708030520616401
4_full_presence_sum_equaldim,w_class,xgb_clf,8,test,1956,953,1003,0.5990046649139674,0.5749693829631597
4_full_presence_sum_equaldim,w_class,xgb_clf,9,test,1956,965,991,0.593236015329677,0.5798530673401334
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,0,test,1901,960,941,0.5860221838469712,0.5824873885601404
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,1,test,1912,947,965,0.6049843793599641,0.5748870825035908
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,2,test,1956,963,993,0.594322249516083,0.5636410019041324
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,3,test,1860,902,958,0.5983571650102533,0.569418293523379
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,4,test,1935,948,987,0.6018376019049329,0.5843763560422137
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,5,test,1947,952,995,0.5925816055065242,0.5816840576456005
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,6,test,1897,907,990,0.5956355172452196,0.5698754301765062
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,7,test,1944,954,990,0.5904633335450945,0.5819166738856634
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,8,test,1956,953,1003,0.5921888060896011,0.5674311742333193
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,9,test,1956,965,991,0.5992973026670082,0.5970636294746621
