model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.09090909090909091,4,960,133,4724,526,0.5547743404312308
xgboost,0.09090909090909091,5,997,96,4722,528,0.5625964506172838
xgboost,0.09090909090909091,6,988,105,4719,531,0.5789850212385423
xgboost,0.09090909090909091,7,983,110,4712,538,0.5472599830076466
xgboost,0.09090909090909091,8,989,104,4752,498,0.5327020695040999
xgboost,0.09090909090909091,9,996,97,4752,498,0.583155513278659
xgboost,0.18181818181818182,0,665,82,4717,533,0.5037045048942729
xgboost,0.18181818181818182,1,683,64,4716,534,0.5388962765957447
xgboost,0.18181818181818182,2,661,86,4700,550,0.5793905372894947
xgboost,0.18181818181818182,3,681,66,4736,514,0.5733225108225108
xgboost,0.18181818181818182,4,659,88,4724,526,0.5472447073474471
xgboost,0.18181818181818182,5,685,62,4722,528,0.5752803544233697
xgboost,0.18181818181818182,6,667,80,4719,531,0.5805986696230598
xgboost,0.18181818181818182,7,674,73,4712,538,0.5683900427161585
xgboost,0.18181818181818182,8,671,76,4752,498,0.5518209029683212
xgboost,0.18181818181818182,9,677,70,4752,498,0.5291388518024032
xgboost,0.2727272727272727,0,559,69,4717,533,0.4687031484257871
xgboost,0.2727272727272727,1,573,55,4716,534,0.5531979502751946
xgboost,0.2727272727272727,2,555,73,4700,550,0.6049223169926194
xgboost,0.2727272727272727,3,568,60,4736,514,0.604625550660793
xgboost,0.2727272727272727,4,558,70,4724,526,0.543640350877193
xgboost,0.2727272727272727,5,573,55,4722,528,0.5736305977320776
xgboost,0.2727272727272727,6,558,70,4719,531,0.5644251626898047
xgboost,0.2727272727272727,7,565,63,4712,538,0.5770760233918129
xgboost,0.2727272727272727,8,567,61,4752,498,0.5654799864951046
xgboost,0.2727272727272727,9,576,52,4752,498,0.5341928251121077
xgboost,0.36363636363636365,0,462,55,4717,533,0.5153290224419932
xgboost,0.36363636363636365,1,469,48,4716,534,0.5691443758573389
xgboost,0.36363636363636365,2,460,57,4700,550,0.5778442048325683
xgboost,0.36363636363636365,3,465,52,4736,514,0.6011904761904762
xgboost,0.36363636363636365,4,463,54,4724,526,0.555398618957941
xgboost,0.36363636363636365,5,470,47,4722,528,0.5477506966868669
xgboost,0.36363636363636365,6,459,58,4719,531,0.5522344535977254
xgboost,0.36363636363636365,7,465,52,4712,538,0.5932257043368154
xgboost,0.36363636363636365,8,466,51,4752,498,0.5181822169583717
xgboost,0.36363636363636365,9,474,43,4752,498,0.5063634040378227
xgboost,0.4545454545454546,0,393,50,4717,533,0.5064182194616977
xgboost,0.4545454545454546,1,402,41,4716,534,0.60520457131549
xgboost,0.4545454545454546,2,395,48,4700,550,0.5599269588313414
xgboost,0.4545454545454546,3,399,44,4736,514,0.6001450676982591
xgboost,0.4545454545454546,4,398,45,4724,526,0.5799953799953801
xgboost,0.4545454545454546,5,403,40,4722,528,0.5548668032786885
xgboost,0.4545454545454546,6,391,52,4719,531,0.5584149670788502
xgboost,0.4545454545454546,7,397,46,4712,538,0.6016702014846235
xgboost,0.4545454545454546,8,406,37,4752,498,0.5432373805475758
xgboost,0.4545454545454546,9,403,40,4752,498,0.5518558951965065
xgboost,0.5454545454545454,0,328,43,4717,533,0.5361177028951115
xgboost,0.5454545454545454,1,336,35,4716,534,0.5995991983967935
xgboost,0.5454545454545454,2,330,41,4700,550,0.5698404331783986
xgboost,0.5454545454545454,3,336,35,4736,514,0.6240381747688637
xgboost,0.5454545454545454,4,329,42,4724,526,0.5874163715072807
xgboost,0.5454545454545454,5,337,34,4722,528,0.5545963324601095
xgboost,0.5454545454545454,6,328,43,4719,531,0.5616183759054518
xgboost,0.5454545454545454,7,333,38,4712,538,0.6540526315789474
xgboost,0.5454545454545454,8,343,28,4752,498,0.5320668693009118
xgboost,0.5454545454545454,9,339,32,4752,498,0.5446620171673819
xgboost,0.6363636363636364,0,293,38,4717,533,0.5457735247208931
xgboost,0.6363636363636364,1,300,31,4716,534,0.5936638235105496
xgboost,0.6363636363636364,2,294,37,4700,550,0.5822664770033192
xgboost,0.6363636363636364,3,299,32,4736,514,0.5696965767634855
xgboost,0.6363636363636364,4,295,36,4724,526,0.5743197278911565
xgboost,0.6363636363636364,5,304,27,4722,528,0.56960153766541
xgboost,0.6363636363636364,6,289,42,4719,531,0.5377349303729672
xgboost,0.6363636363636364,7,296,35,4712,538,0.6328883839818235
xgboost,0.6363636363636364,8,306,25,4752,498,0.4785623678646934
xgboost,0.6363636363636364,9,303,28,4752,498,0.5286474164133739
xgboost,0.7272727272727273,0,207,32,4717,533,0.5563872255489022
xgboost,0.7272727272727273,1,219,20,4716,534,0.6285019455252918
xgboost,0.7272727272727273,2,215,24,4700,550,0.514575411913815
xgboost,0.7272727272727273,3,221,18,4736,514,0.557347670250896
xgboost,0.7272727272727273,4,213,26,4724,526,0.559076923076923
xgboost,0.7272727272727273,5,219,20,4722,528,0.5900590551181102
xgboost,0.7272727272727273,6,206,33,4719,531,0.5261652671291226
xgboost,0.7272727272727273,7,215,24,4712,538,0.6511024643320363
xgboost,0.7272727272727273,8,220,19,4752,498,0.5078562795297219
xgboost,0.7272727272727273,9,216,23,4752,498,0.537391304347826
xgboost,0.8181818181818182,0,162,22,4717,533,0.5698274328411315
xgboost,0.8181818181818182,1,169,15,4716,534,0.5369299935773924
xgboost,0.8181818181818182,2,164,20,4700,550,0.4685849056603773
xgboost,0.8181818181818182,3,166,18,4736,514,0.5226254480286738
xgboost,0.8181818181818182,4,164,20,4724,526,0.46739130434782605
xgboost,0.8181818181818182,5,170,14,4722,528,0.6200667037242913
xgboost,0.8181818181818182,6,158,26,4719,531,0.4597105864432597
xgboost,0.8181818181818182,7,165,19,4712,538,0.6883683196430382
xgboost,0.8181818181818182,8,171,13,4752,498,0.5037272006344172
xgboost,0.8181818181818182,9,167,17,4752,498,0.4906444906444906
xgboost,0.9090909090909092,0,98,10,4717,533,0.6684512428298279
xgboost,0.9090909090909092,1,97,11,4716,534,0.5868242656005562
xgboost,0.9090909090909092,2,98,10,4700,550,0.48518518518518516
xgboost,0.9090909090909092,3,95,13,4736,514,0.5338553661906955
xgboost,0.9090909090909092,4,95,13,4724,526,0.6023391812865497
xgboost,0.9090909090909092,5,97,11,4722,528,0.6441005802707931
xgboost,0.9090909090909092,6,91,17,4719,531,0.4759670405127031
xgboost,0.9090909090909092,7,99,9,4712,538,0.6622558286074354
xgboost,0.9090909090909092,8,101,7,4752,498,0.587139947628746
xgboost,0.9090909090909092,9,101,7,4752,498,0.6688972941518767
