arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
2_presence_concat_quantile,y,mlp_clf_y,0,test,581,20,561,0.750222816399287,0.21529782958011098
2_presence_concat_quantile,y,mlp_clf_y,1,test,607,18,589,0.7753725712129786,0.23393699141125923
2_presence_concat_quantile,y,mlp_clf_y,2,test,591,19,572,0.868006993006993,0.45289092471242354
2_presence_concat_quantile,y,mlp_clf_y,3,test,577,27,550,0.8074410774410774,0.4225330233306592
2_presence_concat_quantile,y,mlp_clf_y,4,test,552,18,534,0.8023304203079483,0.3152368015380299
2_presence_concat_quantile,y,mlp_clf_y,5,test,564,17,547,0.8250349499946231,0.3313882745251897
2_presence_concat_quantile,y,mlp_clf_y,6,test,582,23,559,0.7619195768841875,0.15415527822547476
2_presence_concat_quantile,y,mlp_clf_y,7,test,573,17,556,0.723338975878121,0.21104451850231035
2_presence_concat_quantile,y,mlp_clf_y,8,test,576,22,554,0.8347554972103709,0.26782363675127385
2_presence_concat_quantile,y,mlp_clf_y,9,test,563,17,546,0.7619047619047619,0.10987066691520787
2_presence_concat_quantile,w_class,sparse_logistic,0,test,581,254,327,0.6180560572130319,0.5302339384570803
2_presence_concat_quantile,w_class,sparse_logistic,1,test,607,262,345,0.5906405575838035,0.5121065790008852
2_presence_concat_quantile,w_class,sparse_logistic,2,test,591,270,321,0.5716337833160263,0.5023016933531901
2_presence_concat_quantile,w_class,sparse_logistic,3,test,577,232,345,0.5970827086456771,0.5034078319790245
2_presence_concat_quantile,w_class,sparse_logistic,4,test,552,236,316,0.5682055889294143,0.48331895992576074
2_presence_concat_quantile,w_class,sparse_logistic,5,test,564,232,332,0.5532041960947237,0.4583650481407362
2_presence_concat_quantile,w_class,sparse_logistic,6,test,582,270,312,0.6069088319088318,0.5506228754931024
2_presence_concat_quantile,w_class,sparse_logistic,7,test,573,230,343,0.5835593864875143,0.46961662223981104
2_presence_concat_quantile,w_class,sparse_logistic,8,test,576,230,346,0.6019728575018849,0.46504870809588006
2_presence_concat_quantile,w_class,sparse_logistic,9,test,563,257,306,0.5763841204445461,0.5266712776143897
2_presence_concat_quantile,w_class,xgb_clf,0,test,581,254,327,0.5985997736521467,0.5269611744546708
2_presence_concat_quantile,w_class,xgb_clf,1,test,607,262,345,0.576573736032747,0.5050233656645498
2_presence_concat_quantile,w_class,xgb_clf,2,test,591,270,321,0.5211088035075574,0.4630355986953899
2_presence_concat_quantile,w_class,xgb_clf,3,test,577,232,345,0.5785544727636182,0.4646556365932377
2_presence_concat_quantile,w_class,xgb_clf,4,test,552,236,316,0.5670725166273332,0.48258137801389156
