source,feature_id,mean,var,score,selected,threshold
Xb,46870,0.010638297872340425,0.010638297872340427,0.005111202275725546,False,0.336238477090991
Xb,46871,0.14893617021276595,0.7517730496453899,0.08134186178164043,False,0.336238477090991
Xb,46872,0.1702127659574468,1.433081674673988,0.1003842771588387,False,0.336238477090991
Xb,46873,0.02127659574468085,0.02104781514527569,0.010112486222940862,False,0.336238477090991
Xb,46874,0.24468085106382978,2.831960649736906,0.13381314222622828,False,0.336238477090991
Xb,46875,0.010638297872340425,0.010638297872340429,0.005111202275725545,False,0.336238477090991
Xb,46876,0.2978723404255319,4.57698467169984,0.15042377620018724,False,0.336238477090991
Xb,46877,0.0,0.0,0.0,False,0.336238477090991
Xb,46878,1.3829787234042554,73.63669640814459,0.428085482117631,True,0.336238477090991
Xb,46879,0.35106382978723405,5.735644017387329,0.1710317196166098,False,0.336238477090991
Xb,46880,0.02127659574468085,0.02104781514527569,0.010112486222940862,False,0.336238477090991
Xb,46881,0.11702127659574468,0.9001372683596429,0.06866431950038063,False,0.336238477090991
Xb,46882,0.010638297872340425,0.010638297872340425,0.005111202275725547,False,0.336238477090991
Xb,46883,1.2659574468085106,60.13280713795468,0.4113740635526392,True,0.336238477090991
Xb,46884,0.010638297872340425,0.010638297872340429,0.005111202275725545,False,0.336238477090991
Xb,46885,0.02127659574468085,0.0425531914893617,0.012839882561835977,False,0.336238477090991
Xb,46886,0.3191489361702128,1.6389842141386404,0.17012227980423292,False,0.336238477090991
Xb,46887,5.542553191489362,242.14333104552745,1.2027567598732474,True,0.336238477090991
Xb,46888,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46889,0.7872340425531915,23.73919011667813,0.31156586207927905,False,0.336238477090991
Xb,46890,0.010638297872340425,0.010638297872340425,0.005111202275725547,False,0.336238477090991
Xb,46891,0.0425531914893617,0.10569663692518878,0.025336174721607266,False,0.336238477090991
Xb,46892,0.07446808510638298,0.19869595058339048,0.041794465263336904,False,0.336238477090991
Xb,46893,0.0425531914893617,0.10569663692518878,0.025336174721607266,False,0.336238477090991
Xb,46894,0.14893617021276595,1.1603752001830243,0.08536457733771417,False,0.336238477090991
Xb,46895,0.07446808510638298,0.3062228323038208,0.04654275234511187,False,0.336238477090991
Xb,46896,0.02127659574468085,0.0425531914893617,0.012839882561835977,False,0.336238477090991
Xb,46897,0.7127659574468085,21.43273850377486,0.28395103884502243,False,0.336238477090991
Xb,46898,1.8617021276595744,126.5075497597804,0.5029913187552697,True,0.336238477090991
Xb,46899,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46900,0.06382978723404255,0.21093571265156721,0.039991645328166917,False,0.336238477090991
Xb,46901,0.0425531914893617,0.06268588423701675,0.02260393592711552,False,0.336238477090991
Xb,46902,0.0851063829787234,0.35827041866849707,0.05402975230703336,False,0.336238477090991
Xb,46903,0.7872340425531915,24.68542667581788,0.3112307705585824,False,0.336238477090991
Xb,46904,0.09574468085106383,0.30256234271333826,0.05957757666318583,False,0.336238477090991
Xb,46905,0.010638297872340425,0.010638297872340427,0.005111202275725546,False,0.336238477090991
Xb,46906,0.3617021276595745,5.953786318920159,0.17701419082200207,False,0.336238477090991
Xb,46907,1.1382978723404256,48.91615191031794,0.3879256179471211,True,0.336238477090991
Xb,46908,0.02127659574468085,0.02104781514527569,0.010112486222940862,False,0.336238477090991
Xb,46909,0.02127659574468085,0.042553191489361715,0.012839882561835955,False,0.336238477090991
Xb,46910,1.3404255319148937,70.39899336536261,0.42050503914365206,True,0.336238477090991
Xb,46911,0.010638297872340425,0.010638297872340427,0.005111202275725546,False,0.336238477090991
Xb,46912,0.0425531914893617,0.10569663692518876,0.025336174721607273,False,0.336238477090991
Xb,46913,0.1276595744680851,0.7577213452299222,0.07969894769024835,False,0.336238477090991
Xb,46914,0.010638297872340425,0.010638297872340427,0.005111202275725546,False,0.336238477090991
Xb,46915,0.02127659574468085,0.021047815145275692,0.01011248622294086,False,0.336238477090991
Xb,46916,0.031914893617021274,0.05273392816289164,0.017776868408730856,False,0.336238477090991
Xb,46917,0.30851063829787234,2.7532601235415233,0.1645215375027367,False,0.336238477090991
Xb,46918,0.02127659574468085,0.021047815145275692,0.01011248622294086,False,0.336238477090991
Xb,46919,0.6276595744680851,6.472775108670787,0.28549421307732603,False,0.336238477090991
Xb,46920,0.26595744680851063,3.1220544497826577,0.14200140071003792,False,0.336238477090991
Xb,46921,0.031914893617021274,0.09574468085106383,0.020444809102902188,False,0.336238477090991
Xb,46922,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46923,0.06382978723404255,0.18943033630748107,0.037158322099742715,False,0.336238477090991
