outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,brier,y_mean,y_std,r2,mse,rmse,mae
2,2,train,w_reg,regression,linreg,3771,,,,,,0.0458552108194113,0.15656010188640337,0.056920358836085705,0.023109756949808342,0.15201893615536302,0.07541455777953235
2,2,val,w_reg,regression,xgb_reg,929,,,,,,0.056189451022604954,0.17778968183273564,-0.049616482596781974,0.03314179370755674,0.1820488772488222,0.08858543965158387
2,2,train,w_reg,regression,xgb_reg,3771,,,,,,0.0458552108194113,0.15656010188640337,0.7091909447699829,0.00712614957616396,0.08441652430753092,0.04360404284226404
2,3,val,y,binary,sparse_logistic,4957,122.0,4835.0,0.7175623442453423,0.14969847417231893,0.12773550883989263,,,,,,
2,3,train,y,binary,sparse_logistic,19831,492.0,19339.0,0.9243734069534707,0.27847393635014195,0.11890693785844637,,,,,,
2,3,val,y,binary,xgb_clf,4957,122.0,4835.0,0.8194178378286741,0.20836691800297477,0.0618239957140241,,,,,,
2,3,train,y,binary,xgb_clf,19831,492.0,19339.0,0.9873133799723125,0.6694074190230226,0.04943175611793209,,,,,,
2,3,val,w_reg,regression,linreg,940,,,,,,0.04785106382978723,0.1611356764621014,-0.030923513417468573,0.02673914997229544,0.16352109947127752,0.08279498240415084
2,3,train,w_reg,regression,linreg,3760,,,,,,0.0479095744680851,0.1610014294865308,0.05501930292323898,0.02448876491840244,0.15648886515788413,0.07937204420778583
2,3,val,w_reg,regression,xgb_reg,940,,,,,,0.04785106382978723,0.1611356764621014,-0.08352730865405467,0.02810353903863872,0.16764110187731027,0.08350496412455347
2,3,train,w_reg,regression,xgb_reg,3760,,,,,,0.0479095744680851,0.1610014294865308,0.7180993005900265,0.007305334362425928,0.08547124874731811,0.044309813279101475
2,4,val,y,binary,sparse_logistic,4957,123.0,4834.0,0.7541508151945401,0.15910780101529454,0.13362480884956351,,,,,,
2,4,train,y,binary,sparse_logistic,19831,491.0,19340.0,0.9179436159032176,0.27062926131050474,0.1236480784919675,,,,,,
2,4,val,y,binary,xgb_clf,4957,123.0,4834.0,0.8477930714350587,0.23893034548902703,0.06594843323392524,,,,,,
2,4,train,y,binary,xgb_clf,19831,491.0,19340.0,0.9856855140196757,0.6246417712114202,0.0531325307571325,,,,,,
2,4,val,w_reg,regression,linreg,933,,,,,,0.0415005359056806,0.14410110322393882,-0.019419699806884294,0.0211456919908839,0.1454155837277556,0.07621925020963753
2,4,train,w_reg,regression,linreg,3767,,,,,,0.04948234669498274,0.1649110951329337,0.05664782070790986,0.02564828341534373,0.160150814594693,0.08059571014254897
2,4,val,w_reg,regression,xgb_reg,933,,,,,,0.0415005359056806,0.14410110322393882,-0.1327846785117115,0.023497207193797387,0.15328798776746136,0.07928645400844873
2,4,train,w_reg,regression,xgb_reg,3767,,,,,,0.04948234669498274,0.1649110951329337,0.7051438573054483,0.008016681447919038,0.08953592266749161,0.04686380956172642
3,-1,test,y,binary,sparse_logistic,2754,68.0,2686.0,0.7166736016819237,0.2432864814383715,0.1351800630841151,,,,,,
3,-1,train,y,binary,sparse_logistic,24788,614.0,24174.0,0.9119509236644534,0.24457355415432347,0.12465488735981403,,,,,,
3,-1,test,y,binary,xgb_clf,2754,68.0,2686.0,0.8067539748587447,0.2721163226427499,0.07043896159971252,,,,,,
3,-1,train,y,binary,xgb_clf,24788,614.0,24174.0,0.9825208942549793,0.5983653824874049,0.05790426849113406,,,,,,
3,-1,test,w_reg,regression,linreg,514,,,,,,0.047782101167315176,0.16419020726717562,-0.05371380922844593,0.02835119832119531,0.16837814086512332,0.08866582949120362
3,-1,train,w_reg,regression,linreg,4736,,,,,,0.047863175675675676,0.1601197910448045,0.013026783564772715,0.02529901929869587,0.15905665436785682,0.08271746768628725
3,-1,test,w_reg,regression,xgb_reg,514,,,,,,0.047782101167315176,0.16419020726717562,-0.08277026484375138,0.02913299061474391,0.17068389090580255,0.08359803397668678
3,-1,train,w_reg,regression,xgb_reg,4736,,,,,,0.047863175675675676,0.1601197910448045,0.6474448199597911,0.009037023654914749,0.09506326133115121,0.04860628812285681
3,0,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7185991373874441,0.14729727253778288,0.13077121386588886,,,,,,
3,0,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9260352512029709,0.25562368881905345,0.11859881698743877,,,,,,
3,0,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8393329465869632,0.24529486407951143,0.06020453438797198,,,,,,
3,0,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9866366508840182,0.6392899295387569,0.05104826509871078,,,,,,
3,0,val,w_reg,regression,linreg,1001,,,,,,0.04251748251748252,0.14602758624333945,-0.014772441351866394,0.021617446863010415,0.14702872801942624,0.07585303943727041
3,0,train,w_reg,regression,linreg,3735,,,,,,0.049295850066934405,0.1636792820149215,0.06112721441513813,0.02514651935005155,0.15857654098274293,0.08021075792772224
3,0,val,w_reg,regression,xgb_reg,1001,,,,,,0.04251748251748252,0.14602758624333945,-0.07772569272770102,0.022958524439632307,0.15152070630653855,0.07453373578198784
3,0,train,w_reg,regression,xgb_reg,3735,,,,,,0.049295850066934405,0.1636792820149215,0.7068040274504285,0.00785288306389894,0.08861649431059063,0.04635069476522801
3,1,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7897117058037177,0.28920297160596387,0.12836162595518472,,,,,,
3,1,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9171598415198692,0.21837768778046504,0.12532725920336835,,,,,,
3,1,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8632355537619493,0.3472261191665788,0.06366256950509638,,,,,,
3,1,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9850815901386022,0.6027603050055803,0.05479708674900353,,,,,,
3,1,val,w_reg,regression,linreg,928,,,,,,0.04883620689655172,0.16455865298855293,-0.010742694769227956,0.02734096358887819,0.16535103141159474,0.0818665669028294
3,1,train,w_reg,regression,linreg,3808,,,,,,0.04762605042016806,0.15904044706431178,0.06203753337781215,0.023718464658023474,0.15400800192854744,0.07757786307806745
3,1,val,w_reg,regression,xgb_reg,928,,,,,,0.04883620689655172,0.16455865298855293,-0.0648647231602344,0.028804984467043025,0.16972031247627087,0.08288247428332209
3,1,train,w_reg,regression,xgb_reg,3808,,,,,,0.04762605042016806,0.15904044706431178,0.7121584240451715,0.0072787136898777045,0.08531537780422534,0.044322239960438464
3,2,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7161432979376329,0.13640684055755284,0.13243583368827375,,,,,,
3,2,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9267346915348605,0.2607358253663889,0.11703494630894101,,,,,,
3,2,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8361078181619457,0.22160266262294026,0.0647562368546466,,,,,,
3,2,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9861405711304435,0.6419695936115609,0.049997728847127214,,,,,,
3,2,val,w_reg,regression,linreg,923,,,,,,0.04528710725893824,0.15473649463801165,0.0022620419654668655,0.023863339689063786,0.15447763491542646,0.07757528936674059
3,2,train,w_reg,regression,linreg,3813,,,,,,0.048486755835300294,0.16140952505955178,0.05631555005030686,0.024579395895550013,0.1567781741683134,0.07912384332965404
3,2,val,w_reg,regression,xgb_reg,923,,,,,,0.04528710725893824,0.15473649463801165,-0.019750736216484155,0.024389829033310755,0.15617243365367256,0.07620822961419801
