outer_fold,inner_fold,role,task,model,cutoff,tp,fp,tn,fn,precision,recall,f1,tpr,fpr,accuracy
0,-1,test,y,sparse_logistic,0.26,48,920,1766,21,0.049586776859504134,0.6956521739130435,0.09257473481195756,0.6956521739130435,0.3425167535368578,0.6584392014519056
0,-1,test,y,sparse_logistic,0.27,48,896,1790,21,0.05084745762711865,0.6956521739130435,0.09476801579466931,0.6956521739130435,0.33358153387937456,0.6671506352087114
0,-1,test,y,sparse_logistic,0.28,48,866,1820,21,0.0525164113785558,0.6956521739130435,0.09766022380467955,0.6956521739130435,0.32241250930752047,0.6780399274047187
0,-1,test,y,sparse_logistic,0.29000000000000004,48,844,1842,21,0.053811659192825115,0.6956521739130435,0.09989594172736734,0.6956521739130435,0.31422189128816086,0.6860254083484574
0,-1,test,y,sparse_logistic,0.3,48,821,1865,21,0.05523590333716916,0.6956521739130435,0.10234541577825158,0.6956521739130435,0.3056589724497394,0.6943738656987296
0,-1,test,y,sparse_logistic,0.31,47,802,1884,22,0.05535924617196702,0.6811594202898551,0.10239651416122005,0.6811594202898551,0.29858525688756515,0.700907441016334
0,-1,test,y,sparse_logistic,0.32,47,782,1904,22,0.05669481302774427,0.6811594202898551,0.10467706013363029,0.6811594202898551,0.2911392405063291,0.7081669691470055
0,-1,test,y,sparse_logistic,0.33,47,758,1928,22,0.058385093167701865,0.6811594202898551,0.10755148741418764,0.6811594202898551,0.2822040208488459,0.7168784029038112
0,-1,test,y,sparse_logistic,0.34,47,741,1945,22,0.05964467005076142,0.6811594202898551,0.10968494749124853,0.6811594202898551,0.2758749069247952,0.7230490018148821
0,-1,test,y,sparse_logistic,0.35000000000000003,47,716,1970,22,0.061598951507208385,0.6811594202898551,0.11298076923076922,0.6811594202898551,0.2665673864482502,0.7321234119782214
0,-1,test,y,sparse_logistic,0.36000000000000004,47,697,1989,22,0.06317204301075269,0.6811594202898551,0.11562115621156212,0.6811594202898551,0.25949367088607594,0.7390199637023593
0,-1,test,y,sparse_logistic,0.37,47,669,2017,22,0.06564245810055866,0.6811594202898551,0.11974522292993629,0.6811594202898551,0.2490692479523455,0.7491833030852995
0,-1,test,y,sparse_logistic,0.38,47,646,2040,22,0.06782106782106782,0.6811594202898551,0.12335958005249345,0.6811594202898551,0.24050632911392406,0.7575317604355717
0,-1,test,y,sparse_logistic,0.39,46,624,2062,23,0.06865671641791045,0.6666666666666666,0.12449255751014884,0.6666666666666666,0.23231571109456442,0.7651542649727767
0,-1,test,y,sparse_logistic,0.4,46,608,2078,23,0.07033639143730887,0.6666666666666666,0.1272475795297372,0.6666666666666666,0.22635889798957556,0.770961887477314
0,-1,test,y,sparse_logistic,0.41000000000000003,46,581,2105,23,0.0733652312599681,0.6666666666666666,0.13218390804597702,0.6666666666666666,0.21630677587490693,0.7807622504537205
0,-1,test,y,sparse_logistic,0.42000000000000004,45,559,2127,24,0.07450331125827815,0.6521739130434783,0.1337295690936107,0.6521739130434783,0.2081161578555473,0.7883847549909256
0,-1,test,y,sparse_logistic,0.43,45,539,2147,24,0.07705479452054795,0.6521739130434783,0.13782542113323124,0.6521739130434783,0.20067014147431125,0.7956442831215971
0,-1,test,y,sparse_logistic,0.44,45,526,2160,24,0.07880910683012259,0.6521739130434783,0.140625,0.6521739130434783,0.19583023082650783,0.8003629764065335
0,-1,test,y,sparse_logistic,0.45,44,506,2180,25,0.08,0.6376811594202898,0.1421647819063005,0.6376811594202898,0.18838421444527179,0.8072595281306715
0,-1,test,y,sparse_logistic,0.46,44,487,2199,25,0.08286252354048965,0.6376811594202898,0.14666666666666667,0.6376811594202898,0.18131049888309755,0.8141560798548094
0,-1,test,y,sparse_logistic,0.47000000000000003,41,477,2209,28,0.07915057915057915,0.5942028985507246,0.13969335604770017,0.5942028985507246,0.17758749069247953,0.8166969147005445
0,-1,test,y,sparse_logistic,0.48000000000000004,41,465,2221,28,0.08102766798418973,0.5942028985507246,0.14260869565217393,0.5942028985507246,0.1731198808637379,0.8210526315789474
0,-1,test,y,sparse_logistic,0.49,41,452,2234,28,0.08316430020283976,0.5942028985507246,0.14590747330960854,0.5942028985507246,0.16827997021593447,0.8257713248638838
0,-1,test,y,sparse_logistic,0.5,40,439,2247,29,0.08350730688935282,0.5797101449275363,0.145985401459854,0.5797101449275363,0.16344005956813104,0.8301270417422868
0,-1,test,y,sparse_logistic,0.51,39,423,2263,30,0.08441558441558442,0.5652173913043478,0.14689265536723164,0.5652173913043478,0.1574832464631422,0.8355716878402903
0,-1,test,y,sparse_logistic,0.52,38,409,2277,31,0.08501118568232663,0.5507246376811594,0.14728682170542637,0.5507246376811594,0.152271034996277,0.8402903811252269
0,-1,test,y,sparse_logistic,0.53,38,394,2292,31,0.08796296296296297,0.5507246376811594,0.15169660678642713,0.5507246376811594,0.14668652271034996,0.8457350272232305
0,-1,test,y,sparse_logistic,0.54,37,383,2303,32,0.0880952380952381,0.5362318840579711,0.15132924335378323,0.5362318840579711,0.14259121370067016,0.8493647912885662
0,-1,test,y,sparse_logistic,0.55,37,373,2313,32,0.09024390243902439,0.5362318840579711,0.15448851774530273,0.5362318840579711,0.13886820551005213,0.852994555353902
0,-1,test,y,sparse_logistic,0.56,37,359,2327,32,0.09343434343434344,0.5362318840579711,0.15913978494623657,0.5362318840579711,0.1336559940431869,0.8580762250453721
0,-1,test,y,sparse_logistic,0.5700000000000001,37,348,2338,32,0.09610389610389611,0.5362318840579711,0.1629955947136564,0.5362318840579711,0.12956068503350707,0.8620689655172413
0,-1,test,y,sparse_logistic,0.5800000000000001,36,334,2352,33,0.0972972972972973,0.5217391304347826,0.16400911161731208,0.5217391304347826,0.12434847356664185,0.8667876588021779
0,-1,test,y,sparse_logistic,0.59,36,323,2363,33,0.10027855153203342,0.5217391304347826,0.16822429906542055,0.5217391304347826,0.12025316455696203,0.8707803992740472
