cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
CRC,20260916_152830,9,real,-1,w_class,0.5809363953103939,0.5253506892383566,563,257,14.8
CRC,20260916_152830,9,shuffled,0,y,0.5135746606334842,0.03683156941199274,563,17,14.8
CRC,20260916_152830,9,shuffled,0,w_class,0.5888075074387732,0.5266274670193083,563,257,14.8
CRC,20260916_152830,9,shuffled,1,y,0.4719887955182072,0.10558371843648448,563,17,14.7
CRC,20260916_152830,9,shuffled,1,w_class,0.5814068818188753,0.518517292732282,563,257,14.7
CRC,20260916_152830,9,shuffled,2,y,0.4884723120017238,0.031077105804158123,563,17,14.6
CRC,20260916_152830,9,shuffled,2,w_class,0.5629307494722922,0.49512427590256536,563,257,14.6
CRC,20260916_152830,9,shuffled,3,y,0.47220426632191337,0.03165272484240739,563,17,14.9
CRC,20260916_152830,9,shuffled,3,w_class,0.5602731364919509,0.5050232247113242,563,257,14.9
CRC,20260916_152830,9,shuffled,4,y,0.4907347554406378,0.03723078565983877,563,17,14.8
CRC,20260916_152830,9,shuffled,4,w_class,0.5666564939854022,0.5140840844163553,563,257,14.8
