model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.2727272727272727,4,558,70,4724,526,0.5262218045112782
xgboost,0.2727272727272727,5,573,55,4722,528,0.5684797232365942
xgboost,0.2727272727272727,6,558,70,4719,531,0.5549116826774094
xgboost,0.2727272727272727,7,565,63,4712,538,0.6222890559732664
xgboost,0.2727272727272727,8,567,61,4752,498,0.5669055032449262
xgboost,0.2727272727272727,9,576,52,4752,498,0.5184977578475337
xgboost,0.36363636363636365,0,462,55,4717,533,0.5164701407379232
xgboost,0.36363636363636365,1,469,48,4716,534,0.5602709190672154
xgboost,0.36363636363636365,2,460,57,4700,550,0.552649371908473
xgboost,0.36363636363636365,3,465,52,4736,514,0.5449134199134199
xgboost,0.36363636363636365,4,463,54,4724,526,0.548728813559322
xgboost,0.36363636363636365,5,470,47,4722,528,0.5176272835847304
xgboost,0.36363636363636365,6,459,58,4719,531,0.5226725960486986
xgboost,0.36363636363636365,7,465,52,4712,538,0.6473963279518835
xgboost,0.36363636363636365,8,466,51,4752,498,0.5496337237355793
xgboost,0.36363636363636365,9,474,43,4752,498,0.46409404548939437
xgboost,0.4545454545454546,0,393,50,4717,533,0.5004140786749482
xgboost,0.4545454545454546,1,402,41,4716,534,0.5680502646811458
xgboost,0.4545454545454546,2,395,48,4700,550,0.4941069057104914
xgboost,0.4545454545454546,3,399,44,4736,514,0.5437620889748549
xgboost,0.4545454545454546,4,398,45,4724,526,0.5468699468699469
xgboost,0.4545454545454546,5,403,40,4722,528,0.5664959016393443
xgboost,0.4545454545454546,6,391,52,4719,531,0.5187088485627107
xgboost,0.4545454545454546,7,397,46,4712,538,0.6391834570519619
xgboost,0.4545454545454546,8,406,37,4752,498,0.5413026909773113
xgboost,0.4545454545454546,9,403,40,4752,498,0.4969978165938864
xgboost,0.5454545454545454,0,328,43,4717,533,0.4813478879924063
xgboost,0.5454545454545454,1,336,35,4716,534,0.5349556255367879
xgboost,0.5454545454545454,2,330,41,4700,550,0.514207676457904
xgboost,0.5454545454545454,3,336,35,4736,514,0.516015508499851
xgboost,0.5454545454545454,4,329,42,4724,526,0.5473730814639906
xgboost,0.5454545454545454,5,337,34,4722,528,0.5678137651821863
xgboost,0.5454545454545454,6,328,43,4719,531,0.5454632100648114
xgboost,0.5454545454545454,7,333,38,4712,538,0.6646315789473685
xgboost,0.5454545454545454,8,343,28,4752,498,0.5169452887537994
xgboost,0.5454545454545454,9,339,32,4752,498,0.44950375536480686
xgboost,0.6363636363636364,0,293,38,4717,533,0.5169059011164274
xgboost,0.6363636363636364,1,300,31,4716,534,0.5453087924068493
xgboost,0.6363636363636364,2,294,37,4700,550,0.5266845793161583
xgboost,0.6363636363636364,3,299,32,4736,514,0.49799014522821583
xgboost,0.6363636363636364,4,295,36,4724,526,0.5297052154195012
xgboost,0.6363636363636364,5,304,27,4722,528,0.6072299844754934
xgboost,0.6363636363636364,6,289,42,4719,531,0.5420683610867659
xgboost,0.6363636363636364,7,296,35,4712,538,0.6614030105083782
xgboost,0.6363636363636364,8,306,25,4752,498,0.5418181818181819
xgboost,0.6363636363636364,9,303,28,4752,498,0.4851823708206687
xgboost,0.7272727272727273,0,207,32,4717,533,0.5801521956087824
xgboost,0.7272727272727273,1,219,20,4716,534,0.6114785992217899
xgboost,0.7272727272727273,2,215,24,4700,550,0.5083967046894804
xgboost,0.7272727272727273,3,221,18,4736,514,0.5323700716845878
xgboost,0.7272727272727273,4,213,26,4724,526,0.45715384615384613
xgboost,0.7272727272727273,5,219,20,4722,528,0.6482283464566929
xgboost,0.7272727272727273,6,206,33,4719,531,0.5390653523183644
xgboost,0.7272727272727273,7,215,24,4712,538,0.6912289234760052
xgboost,0.7272727272727273,8,220,19,4752,498,0.5338973739149544
xgboost,0.7272727272727273,9,216,23,4752,498,0.49784897025171626
xgboost,0.8181818181818182,0,162,22,4717,533,0.5519480519480519
xgboost,0.8181818181818182,1,169,15,4716,534,0.5807321772639692
xgboost,0.8181818181818182,2,164,20,4700,550,0.5257547169811321
xgboost,0.8181818181818182,3,166,18,4736,514,0.569668458781362
xgboost,0.8181818181818182,4,164,20,4724,526,0.383498023715415
xgboost,0.8181818181818182,5,170,14,4722,528,0.6580044469149527
xgboost,0.8181818181818182,6,158,26,4719,531,0.5011424219345011
xgboost,0.8181818181818182,7,165,19,4712,538,0.6958726295507554
xgboost,0.8181818181818182,8,171,13,4752,498,0.5647898493259318
