outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
7,-1,test,w_class,binary,mlp_latent_w_class,538,198.0,340.0,0.593939393939394,0.43333128843906144,
7,-1,test,y,binary,mlp_latent_yw,538,18.0,520.0,0.8462606837606838,0.5401742382074254,
7,-1,test,w_class,binary,mlp_latent_yw,538,198.0,340.0,0.6041592394533571,0.45537874904808273,
8,-1,test,y,binary,sparse_logistic,498,22.0,476.0,0.7490450725744844,0.22128622978994233,
8,-1,test,y,binary,xgb_clf,498,22.0,476.0,0.8363254392666157,0.2309698566380277,
8,-1,test,y,binary,mlp_clf_y,498,22.0,476.0,0.8456837280366692,0.2585318366781223,
8,-1,test,y,binary,mlp_latent_y,498,22.0,476.0,0.8456837280366692,0.2585318366781223,
8,-1,test,w_reg,regression,linreg,498,,,,,-0.1524019109921395
8,-1,test,w_reg,regression,xgb_reg,498,,,,,-0.14945281342261185
8,-1,test,w_reg,regression,mlp_reg,498,,,,,-0.12859825386153712
8,-1,test,w_class,binary,sparse_logistic,498,191.0,307.0,0.5819533741494278,0.45483875507393984,
8,-1,test,w_class,binary,xgb_clf,498,191.0,307.0,0.5859269744359363,0.4514123689518799,
8,-1,test,w_class,binary,mlp_clf_w_class,498,191.0,307.0,0.6091034670941555,0.4912721848022138,
8,-1,test,w_class,binary,mlp_latent_w_class,498,191.0,307.0,0.6091034670941555,0.4912721848022138,
8,-1,test,y,binary,mlp_latent_yw,498,22.0,476.0,0.8267761650114592,0.23667118483874164,
8,-1,test,w_class,binary,mlp_latent_yw,498,191.0,307.0,0.6396132135000085,0.4830043666306235,
9,-1,test,y,binary,sparse_logistic,498,20.0,478.0,0.768305439330544,0.2617568903722128,
9,-1,test,y,binary,xgb_clf,498,20.0,478.0,0.8102510460251046,0.3365779404869403,
9,-1,test,y,binary,mlp_clf_y,498,20.0,478.0,0.8213389121338912,0.3344799984272458,
9,-1,test,y,binary,mlp_latent_y,498,20.0,478.0,0.8213389121338912,0.3344799984272458,
9,-1,test,w_reg,regression,linreg,498,,,,,-0.14106720735641343
9,-1,test,w_reg,regression,xgb_reg,498,,,,,-0.18073918709588632
9,-1,test,w_reg,regression,mlp_reg,498,,,,,-0.11821389676885596
9,-1,test,w_class,binary,sparse_logistic,498,184.0,314.0,0.6020666020492937,0.45775242372387914,
9,-1,test,w_class,binary,xgb_clf,498,184.0,314.0,0.5984837995015231,0.4494612693313006,
9,-1,test,w_class,binary,mlp_clf_w_class,498,184.0,314.0,0.6068609803378565,0.46727202407769164,
9,-1,test,w_class,binary,mlp_latent_w_class,498,184.0,314.0,0.6068609803378565,0.46727202407769164,
9,-1,test,y,binary,mlp_latent_yw,498,20.0,478.0,0.8128661087866109,0.31504187652066096,
9,-1,test,w_class,binary,mlp_latent_yw,498,184.0,314.0,0.6190113541955137,0.47242569125635964,
