model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.18181818181818182,5,681,74,5202,564,0.5215664644236072
xgboost,0.18181818181818182,6,672,83,5184,582,0.6043895018953571
xgboost,0.18181818181818182,7,693,62,5193,573,0.5604601982198094
xgboost,0.18181818181818182,8,683,72,5190,576,0.5330274470899471
xgboost,0.18181818181818182,9,667,88,5203,563,0.5945215311004785
xgboost,0.2727272727272727,0,541,57,5185,581,0.5366780500870496
xgboost,0.2727272727272727,1,525,73,5159,607,0.531899338156072
xgboost,0.2727272727272727,2,532,66,5175,591,0.49849927849927855
xgboost,0.2727272727272727,3,547,51,5189,577,0.5449750242302245
xgboost,0.2727272727272727,4,536,62,5214,552,0.6356813693219224
xgboost,0.2727272727272727,5,542,56,5202,564,0.5305469628796401
xgboost,0.2727272727272727,6,532,66,5184,582,0.5915991308433168
xgboost,0.2727272727272727,7,553,45,5193,573,0.5906144781144781
xgboost,0.2727272727272727,8,541,57,5190,576,0.5346989825237467
xgboost,0.2727272727272727,9,533,65,5203,563,0.5929101019462465
xgboost,0.36363636363636365,0,412,50,5185,581,0.5277024482109228
xgboost,0.36363636363636365,1,403,59,5159,607,0.5492855375479401
xgboost,0.36363636363636365,2,413,49,5175,591,0.5354318849310942
xgboost,0.36363636363636365,3,425,37,5189,577,0.5561061061061061
xgboost,0.36363636363636365,4,413,49,5214,552,0.6285754858603481
xgboost,0.36363636363636365,5,421,41,5202,564,0.5411556218812666
xgboost,0.36363636363636365,6,411,51,5184,582,0.5793914552638382
xgboost,0.36363636363636365,7,429,33,5193,573,0.5899831649831649
xgboost,0.36363636363636365,8,417,45,5190,576,0.5289391086001256
xgboost,0.36363636363636365,9,414,48,5203,563,0.6291666666666667
xgboost,0.4545454545454546,0,324,42,5185,581,0.5006405159466384
xgboost,0.4545454545454546,1,318,48,5159,607,0.5640466607036374
xgboost,0.4545454545454546,2,327,39,5175,591,0.5434782608695652
xgboost,0.4545454545454546,3,336,30,5189,577,0.575624619134674
xgboost,0.4545454545454546,4,333,33,5214,552,0.5895953757225433
xgboost,0.4545454545454546,5,335,31,5202,564,0.551594746716698
xgboost,0.4545454545454546,6,322,44,5184,582,0.5842556606961812
xgboost,0.4545454545454546,7,337,29,5193,573,0.5092228701825557
xgboost,0.4545454545454546,8,332,34,5190,576,0.501031039722162
xgboost,0.4545454545454546,9,330,36,5203,563,0.5928737086232343
xgboost,0.5454545454545454,0,248,34,5185,581,0.46029142918593396
xgboost,0.5454545454545454,1,244,38,5159,607,0.5558227731014707
xgboost,0.5454545454545454,2,249,33,5175,591,0.5207993917671337
xgboost,0.5454545454545454,3,258,24,5189,577,0.5240355635925257
xgboost,0.5454545454545454,4,258,24,5214,552,0.5306581439393939
xgboost,0.5454545454545454,5,259,23,5202,564,0.5483404323716146
xgboost,0.5454545454545454,6,246,36,5184,582,0.599638787138787
xgboost,0.5454545454545454,7,261,21,5193,573,0.5897170462387854
xgboost,0.5454545454545454,8,257,25,5190,576,0.49749546279491835
xgboost,0.5454545454545454,9,258,24,5203,563,0.5657467532467533
xgboost,0.6363636363636364,0,188,29,5185,581,0.4411231884057971
