model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.5454545454545454,7,261,21,5193,573,0.5792788129744652
l2_logistic,0.5454545454545454,8,257,25,5190,576,0.4740471869328494
l2_logistic,0.5454545454545454,9,258,24,5203,563,0.5637755102040817
l2_logistic,0.6363636363636364,0,188,29,5185,581,0.3873063468265867
l2_logistic,0.6363636363636364,1,190,27,5159,607,0.5873563218390805
l2_logistic,0.6363636363636364,2,190,27,5175,591,0.5065668505384818
l2_logistic,0.6363636363636364,3,199,18,5189,577,0.5810971973762671
l2_logistic,0.6363636363636364,4,196,21,5214,552,0.4721549636803874
l2_logistic,0.6363636363636364,5,199,18,5202,564,0.49277574277574276
l2_logistic,0.6363636363636364,6,188,29,5184,582,0.6168235954355552
l2_logistic,0.6363636363636364,7,202,15,5193,573,0.4307048984468339
l2_logistic,0.6363636363636364,8,200,17,5190,576,0.47121961485846575
l2_logistic,0.6363636363636364,9,201,16,5203,563,0.5087979890310786
l2_logistic,0.7272727272727273,0,118,23,5185,581,0.43532803490727756
l2_logistic,0.7272727272727273,1,122,19,5159,607,0.6070533476548514
l2_logistic,0.7272727272727273,2,124,17,5175,591,0.5314613650338184
l2_logistic,0.7272727272727273,3,128,13,5189,577,0.6427986906710311
l2_logistic,0.7272727272727273,4,130,11,5214,552,0.5279784910099143
l2_logistic,0.7272727272727273,5,127,14,5202,564,0.4793506493506493
l2_logistic,0.7272727272727273,6,122,19,5184,582,0.6254089931756568
l2_logistic,0.7272727272727273,7,132,9,5193,573,0.4649330181245075
l2_logistic,0.7272727272727273,8,132,9,5190,576,0.440525181265922
l2_logistic,0.7272727272727273,9,134,7,5203,563,0.5038540596094552
l2_logistic,0.8181818181818182,0,76,14,5185,581,0.5545477450239354
l2_logistic,0.8181818181818182,1,78,12,5159,607,0.711624649859944
l2_logistic,0.8181818181818182,2,79,11,5175,591,0.5526645768025078
l2_logistic,0.8181818181818182,3,80,10,5189,577,0.6881834215167548
l2_logistic,0.8181818181818182,4,81,9,5214,552,0.643134847554737
l2_logistic,0.8181818181818182,5,79,11,5202,564,0.5058359362156831
l2_logistic,0.8181818181818182,6,81,9,5184,582,0.5423695947256156
l2_logistic,0.8181818181818182,7,84,6,5193,573,0.6031746031746033
l2_logistic,0.8181818181818182,8,86,4,5190,576,0.4340034965034965
l2_logistic,0.8181818181818182,9,86,4,5203,563,0.6288014311270125
l2_logistic,0.9090909090909092,0,36,5,5185,581,0.40416666666666673
l2_logistic,0.9090909090909092,1,34,7,5159,607,0.43285714285714283
l2_logistic,0.9090909090909092,2,35,6,5175,591,0.5330484330484331
l2_logistic,0.9090909090909092,3,35,6,5189,577,0.7536485697606539
l2_logistic,0.9090909090909092,4,38,3,5214,552,0.914996964177292
l2_logistic,0.9090909090909092,5,36,5,5202,564,0.46225402504472274
l2_logistic,0.9090909090909092,6,39,2,5184,582,0.41379310344827586
l2_logistic,0.9090909090909092,7,39,2,5193,573,0.702276707530648
l2_logistic,0.9090909090909092,8,39,2,5190,576,0.4878048780487805
l2_logistic,0.9090909090909092,9,38,3,5203,563,0.5369047619047619
xgboost,0.09090909090909091,0,1064,115,5185,581,0.5533121851091622
xgboost,0.09090909090909091,1,1048,131,5159,607,0.5663528770286741
xgboost,0.09090909090909091,2,1058,121,5175,591,0.5042201512220854
xgboost,0.09090909090909091,3,1076,103,5189,577,0.5590000409651387
