outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
7,-1,test,w_class,binary,mlp_clf_w_class,573,230.0,343.0,0.523703891494486,0.43898316996922204,
7,-1,test,w_class,binary,mlp_latent_w_class,573,230.0,343.0,0.523703891494486,0.43898316996922204,
7,-1,test,y,binary,mlp_latent_yw,573,17.0,556.0,0.7873465933135844,0.23478199629394186,
7,-1,test,w_class,binary,mlp_latent_yw,573,230.0,343.0,0.5600963366713145,0.46674070563711145,
8,-1,test,y,binary,sparse_logistic,576,22.0,554.0,0.7603380374138498,0.16749524932191748,
8,-1,test,y,binary,xgb_clf,576,22.0,554.0,0.8204791598293404,0.281561596436156,
8,-1,test,y,binary,mlp_clf_y,576,22.0,554.0,0.8260584181161799,0.3095003008803185,
8,-1,test,y,binary,mlp_latent_y,576,22.0,554.0,0.8260584181161799,0.3095003008803185,
8,-1,test,w_reg,regression,linreg,576,,,,,-0.15297841470957518
8,-1,test,w_reg,regression,xgb_reg,576,,,,,-0.15563083239391418
8,-1,test,w_reg,regression,mlp_reg,576,,,,,-0.1311600966359503
8,-1,test,w_class,binary,sparse_logistic,576,230.0,346.0,0.602909022367429,0.4695424752117238,
8,-1,test,w_class,binary,xgb_clf,576,230.0,346.0,0.6000502638853984,0.476231567619747,
8,-1,test,w_class,binary,mlp_clf_w_class,576,230.0,346.0,0.5481842171399849,0.4335211105101155,
8,-1,test,w_class,binary,mlp_latent_w_class,576,230.0,346.0,0.5481842171399849,0.4335211105101155,
8,-1,test,y,binary,mlp_latent_yw,576,22.0,554.0,0.820807351493272,0.2606063629208284,
8,-1,test,w_class,binary,mlp_latent_yw,576,230.0,346.0,0.5793289771299321,0.4794639845782382,
9,-1,test,y,binary,sparse_logistic,563,17.0,546.0,0.7426201249730662,0.14370710944723372,
9,-1,test,y,binary,xgb_clf,563,17.0,546.0,0.8375350140056024,0.21071888937165878,
9,-1,test,y,binary,mlp_clf_y,563,17.0,546.0,0.7767722473604827,0.14079078266797088,
9,-1,test,y,binary,mlp_latent_y,563,17.0,546.0,0.7767722473604827,0.14079078266797088,
9,-1,test,w_reg,regression,linreg,563,,,,,-0.1919088741373538
9,-1,test,w_reg,regression,xgb_reg,563,,,,,-0.18837136657378628
9,-1,test,w_reg,regression,mlp_reg,563,,,,,-0.1755974120660797
9,-1,test,w_class,binary,sparse_logistic,563,257.0,306.0,0.5758627705297423,0.5279801615831632,
9,-1,test,w_class,binary,xgb_clf,563,257.0,306.0,0.5496172528674246,0.48818180515499376,
9,-1,test,w_class,binary,mlp_clf_w_class,563,257.0,306.0,0.5353754990971745,0.48645712264733043,
9,-1,test,w_class,binary,mlp_latent_w_class,563,257.0,306.0,0.5353754990971745,0.48645712264733043,
9,-1,test,y,binary,mlp_latent_yw,563,17.0,546.0,0.7879767291531998,0.1642707341481256,
9,-1,test,w_class,binary,mlp_latent_yw,563,257.0,306.0,0.564482083365123,0.5105396163480985,
