latent_dim,split_idx,auc_y_nn,auc_w0_nn,rmse_W_nn,r2_W_nn,rho_W_nn,auc_spos_nn,auc_sneg_nn,auc_y_vib,auc_w0_vib,rmse_W_vib,r2_W_vib,rho_W_vib,auc_spos_vib,auc_sneg_vib,train_loss_eval_vib,test_loss_eval_vib,gen_gap_vib,KL_total_vib,n_train,auc_y_lr,auc_w0_lr,rmse_W_lr,r2_W_lr,rho_W_lr,auc_spos_lr,auc_sneg_lr,auc_y_lr_shuff,auc_w0_lr_shuff,rmse_W_lr_shuff,r2_W_lr_shuff,rho_W_lr_shuff
3,2,0.713568281938326,0.6567657170170913,0.18052876,-0.297318696975708,0.08770665881179095,0.6571369331477148,0.6042692327339386,0.7483149779735683,0.7344940189848207,0.16246279,-0.050658583641052246,0.3133495223509433,0.6490494949794141,0.6079145064811846,1.4193702267715382,5.170623070130617,3.7512528433590786,25.2930088813233,10775,0.6118171806167401,0.7242589607986125,0.14861131433470373,0.1208607969316342,0.3944161991074058,0.6470365214300524,0.6063698918644156,0.4999229074889869,0.5049844346531195,0.16051599017798213,-0.02562949275977222,0.03318161539347052
3,3,0.725319383259912,0.7192062118323583,0.17893696,-0.08737826347351074,0.2577799285804385,0.6188519752671673,0.6161022585757954,0.7519273127753304,0.7270515451697441,0.16618755,0.062054574489593506,0.2845544306428077,0.6193275193622488,0.6166338234461678,1.4027951520667552,6.230520839195747,4.827725687128992,40.6102585649601,10775,0.6337334801762113,0.7336864556493619,0.16019825769413298,0.12844237298519778,0.4154533067149406,0.6367138200604702,0.6059185016415713,0.4809361233480176,0.4967277551556948,0.17399705028566398,-0.028168520037873623,0.01988796721009073
3,4,0.674944933920705,0.671537041987204,0.18243004,-0.23319745063781738,0.3396724902242032,0.612306005790733,0.597575643045361,0.6817290748898678,0.7240568270192622,0.15704183,0.08615916967391968,0.35599220525615566,0.6306825058419372,0.617746091569942,1.4271331763986645,6.108740128686418,4.681606952287753,23.119556265740272,10775,0.5634691629955946,0.7347347999233663,0.1521797537556134,0.14186884100292174,0.39664389363045255,0.6204835541321814,0.6430056233354292,0.49571585903083704,0.5000109801153897,0.166243904039486,-0.024074084743122226,-0.01589434495771355
3,5,0.721420704845815,0.5589290048543689,0.14793728,0.05918002128601074,0.2931953906802234,0.5836960242554647,0.507659388433322,0.7112224669603525,0.7168165958737863,0.1464423,0.07809889316558838,0.36967834175375813,0.6059930177276246,0.6227217782670187,1.4178911106215828,6.2019784204887625,4.7840873098671794,39.5798635701403,10775,0.5715308370044053,0.7329437196601941,0.1397254113147478,0.1607293749947769,0.39477523489412947,0.6225875437882943,0.6203198915928742,0.47665198237885464,0.5076668689320388,0.1557909076779892,-0.04336303121457896,-0.016875325871509396
3,6,0.7066740088105726,0.6920992804779437,0.1928554,-0.3086899518966675,0.08758503152940961,0.58310900781562,0.5999640120040729,0.6892290748898677,0.6360404261497224,0.17239662,-0.04575669765472412,0.3372197272166991,0.5935647444300329,0.5899263024669945,1.5195220371520712,4.259910434871525,2.740388397719454,38.77492548400454,10775,0.5823678414096916,0.7092211770103518,0.15899896116754442,0.11046766762590421,0.362380460535412,0.6018982599858902,0.5979301711765566,0.48310572687224673,0.49323957165535803,0.17098133773591231,-0.028657000123192056,0.00035301653281082334
3,7,0.6821145374449339,0.6990696730989301,0.16078372,-0.07605433464050293,0.219692028885323,0.5287448796191594,0.6128205373287883,0.7056993392070485,0.6947673274520608,0.15648526,-0.019287943840026855,0.11416391409553345,0.6159600355956364,0.5620576604413641,1.4768509650949535,4.199876529520208,2.7230255644252543,11.924680042842148,10775,0.5741740088105727,0.7175210557227365,0.1466945159891548,0.10426852886761762,0.3747622055935494,0.6166078668227387,0.6109297461595475,0.4377863436123348,0.48099611278964866,0.15672929687724058,-0.022469699397904108,-0.009608050099964344
3,8,0.706762114537445,0.6950180439124181,0.16008234,0.028065741062164307,0.24046012827145985,0.6139832238341182,0.631241825973231,0.7034801762114536,0.7267318513752223,0.15381446,0.10268622636795044,0.4292479665120718,0.6305896817560384,0.6331557656454351,1.3549441562174644,5.9940179151890085,4.639073758971544,24.294355258985906,10775,0.6210352422907488,0.7351429854859564,0.15061401952605144,0.13963880235485682,0.40803534523976814,0.6253631512987999,0.628658311767816,0.4768392070484581,0.5038728397384922,0.1636620420210008,-0.01588827694671413,0.041843510793308884
3,9,0.7340198237885462,0.49643641348521794,0.23170106,-1.14400053024292,-0.22771512461039528,0.5986272402520469,0.5882141642445669,0.7246916299559473,0.6437118620421929,0.21926759,-0.9200729131698608,-0.29621356093603557,0.6341085428016022,0.6132881148825714,1.4290198901855753,5.788371339608064,4.359351449422489,21.833831977401697,10775,0.5461233480176211,0.7199983925950189,0.14650835737065018,0.14277735656830692,0.3995890449150172,0.627538971036611,0.6157044425440618,0.4906277533039648,0.5064258288750592,0.1598295705140873,-0.020194789188955342,0.0048072714888029115
4,0,0.7199889867841409,0.7114192445015113,0.16693944,-0.08407068252563477,0.30398617706451037,0.6204715030564546,0.624809688669855,0.725033039647577,0.7272641474250321,0.15184939,0.10305500030517578,0.37576560681155197,0.6296651147826415,0.6348095095533088,1.3384584600798215,5.842846484824176,4.504388024744355,38.81596497290096,10775,0.612863436123348,0.7346667569857085,0.14923114647330205,0.13371915553214775,0.42538300365750953,0.6267399553360208,0.6150956013240978,0.4301321585903084,0.5043821226141882,0.1621857090924481,-0.023210358592793412,-0.007923917732977301
4,1,0.7508590308370044,0.6718435987472715,0.1729554,-0.06859958171844482,0.1308182620345428,0.5807459420713592,0.5913238772320503,0.7233700440528634,0.7205815697067477,0.15300871,0.16366726160049438,0.4102737992821592,0.6290390655210466,0.6096890171371665,1.3413625890085703,6.93800985617039,5.59664726716182,37.21647349275735,10775,0.564273127753304,0.7205899212299516,0.15172528859493423,0.17763866560594033,0.4213172025205811,0.6193339903986721,0.6029518043126461,0.4755286343612335,0.48563651893328275,0.16965361661573178,-0.02818906924853981,-0.006090525051684407
