outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
9,-1,test,y,binary,mlp_latent_y,1956,48.0,1908.0,0.7301439116002795,0.14549063919789215,
9,-1,test,w_reg,regression,linreg,1956,,,,,-0.15539451879656263
9,-1,test,w_reg,regression,xgb_reg,1956,,,,,-0.16588575267529881
9,-1,test,w_reg,regression,mlp_reg,1956,,,,,-0.12174531851095138
9,-1,test,w_class,binary,sparse_logistic,1956,965.0,991.0,0.606553280038481,0.6024511916553552,
9,-1,test,w_class,binary,xgb_clf,1956,965.0,991.0,0.593236015329677,0.5798530673401334,
9,-1,test,w_class,binary,mlp_clf_w_class,1956,965.0,991.0,0.5992973026670082,0.5970636294746621,
9,-1,test,w_class,binary,mlp_latent_w_class,1956,965.0,991.0,0.5992973026670082,0.5970636294746621,
9,-1,test,y,binary,mlp_latent_yw,1956,48.0,1908.0,0.7439290705800139,0.17615998927702642,
9,-1,test,w_class,binary,mlp_latent_yw,1956,965.0,991.0,0.6050401802753278,0.6040586934052428,
