model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.36363636363636365,0,1667,195,17363,1901,0.5552770012324526
l2_logistic,0.36363636363636365,1,1680,182,17352,1912,0.54188528234771
l2_logistic,0.36363636363636365,2,1668,194,17308,1956,0.5375334963782955
l2_logistic,0.36363636363636365,3,1696,166,17404,1860,0.5989459609393892
l2_logistic,0.36363636363636365,4,1679,183,17329,1935,0.5085460488559522
l2_logistic,0.36363636363636365,5,1661,201,17317,1947,0.5326175536977199
l2_logistic,0.36363636363636365,6,1677,185,17367,1897,0.5470825966153069
l2_logistic,0.36363636363636365,7,1676,186,17320,1944,0.572424676134904
l2_logistic,0.36363636363636365,8,1658,204,17308,1956,0.567553048616707
l2_logistic,0.36363636363636365,9,1696,166,17308,1956,0.5755637073433398
l2_logistic,0.4545454545454546,0,1370,166,17363,1901,0.545338703517239
l2_logistic,0.4545454545454546,1,1386,150,17352,1912,0.5397692016647748
l2_logistic,0.4545454545454546,2,1381,155,17308,1956,0.5457541509197399
l2_logistic,0.4545454545454546,3,1389,147,17404,1860,0.5950296055374864
l2_logistic,0.4545454545454546,4,1386,150,17329,1935,0.5354957983193277
l2_logistic,0.4545454545454546,5,1372,164,17317,1947,0.5512530265515778
l2_logistic,0.4545454545454546,6,1398,138,17367,1897,0.5690568587224296
l2_logistic,0.4545454545454546,7,1386,150,17320,1944,0.5847863247863248
l2_logistic,0.4545454545454546,8,1367,169,17308,1956,0.5776234010920422
l2_logistic,0.4545454545454546,9,1389,147,17308,1956,0.5854326252336202
l2_logistic,0.5454545454545454,0,1081,135,17363,1901,0.5476951470156453
l2_logistic,0.5454545454545454,1,1089,127,17352,1912,0.5104259026445224
l2_logistic,0.5454545454545454,2,1091,125,17308,1956,0.5472157291097761
l2_logistic,0.5454545454545454,3,1099,117,17404,1860,0.5789703380064826
l2_logistic,0.5454545454545454,4,1099,117,17329,1935,0.5331678466991998
l2_logistic,0.5454545454545454,5,1087,129,17317,1947,0.5474923461338382
l2_logistic,0.5454545454545454,6,1110,106,17367,1897,0.551615519947747
l2_logistic,0.5454545454545454,7,1099,117,17320,1944,0.5783709691755669
l2_logistic,0.5454545454545454,8,1095,121,17308,1956,0.5622266759745085
l2_logistic,0.5454545454545454,9,1094,122,17308,1956,0.5724475749503907
l2_logistic,0.6363636363636364,0,847,102,17363,1901,0.5504801142246781
l2_logistic,0.6363636363636364,1,843,106,17352,1912,0.5103219875049625
l2_logistic,0.6363636363636364,2,857,92,17308,1956,0.5461723269266654
l2_logistic,0.6363636363636364,3,857,92,17404,1860,0.5727732146370255
l2_logistic,0.6363636363636364,4,860,89,17329,1935,0.5516634813200726
l2_logistic,0.6363636363636364,5,848,101,17317,1947,0.5388369822897783
l2_logistic,0.6363636363636364,6,869,80,17367,1897,0.5795748486516236
l2_logistic,0.6363636363636364,7,849,100,17320,1944,0.5702765726681128
l2_logistic,0.6363636363636364,8,861,88,17308,1956,0.5683825676464863
l2_logistic,0.6363636363636364,9,850,99,17308,1956,0.5778843904853599
l2_logistic,0.7272727272727273,0,583,66,17363,1901,0.5715217570803403
l2_logistic,0.7272727272727273,1,581,68,17352,1912,0.5188209774148271
l2_logistic,0.7272727272727273,2,587,62,17308,1956,0.5081496746942807
l2_logistic,0.7272727272727273,3,583,66,17404,1860,0.584211682037769
l2_logistic,0.7272727272727273,4,587,62,17329,1935,0.5983414566935915
l2_logistic,0.7272727272727273,5,579,70,17317,1947,0.5411751274830656
l2_logistic,0.7272727272727273,6,594,55,17367,1897,0.633619583456717
