arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
2_presence_concat_quantile,y,mlp_clf_y,1,test,534,20,514,0.8140077821011673,0.28731806324003184
2_presence_concat_quantile,y,mlp_clf_y,2,test,550,24,526,0.7607731305449936,0.35495405793070856
2_presence_concat_quantile,y,mlp_clf_y,3,test,514,15,499,0.7110220440881764,0.1272150705721048
2_presence_concat_quantile,y,mlp_clf_y,4,test,526,16,510,0.7595588235294117,0.20999131215437078
2_presence_concat_quantile,y,mlp_clf_y,5,test,528,17,511,0.8011971912052492,0.42807628264124736
2_presence_concat_quantile,y,mlp_clf_y,6,test,531,13,518,0.9158004158004158,0.20880383579675582
2_presence_concat_quantile,y,mlp_clf_y,7,test,538,18,520,0.8144230769230769,0.5637171948337643
2_presence_concat_quantile,y,mlp_clf_y,8,test,498,22,476,0.8165584415584416,0.20662077079429303
2_presence_concat_quantile,y,mlp_clf_y,9,test,498,20,478,0.8442468619246861,0.31159736447162506
2_presence_concat_quantile,w_class,sparse_logistic,0,test,533,194,339,0.5318553659945868,0.3760159917885689
2_presence_concat_quantile,w_class,sparse_logistic,1,test,534,202,332,0.6138688417034472,0.4706629930896701
2_presence_concat_quantile,w_class,sparse_logistic,2,test,550,217,333,0.6016385048643114,0.4861269798863311
2_presence_concat_quantile,w_class,sparse_logistic,3,test,514,215,299,0.5323792486583184,0.4473990745591587
2_presence_concat_quantile,w_class,sparse_logistic,4,test,526,231,295,0.5779294152175508,0.5042977043280689
2_presence_concat_quantile,w_class,sparse_logistic,5,test,528,189,339,0.5963696524168501,0.4477707353233561
2_presence_concat_quantile,w_class,sparse_logistic,6,test,531,198,333,0.5902417569084236,0.4359476993302449
2_presence_concat_quantile,w_class,sparse_logistic,7,test,538,198,340,0.5672014260249555,0.41643406988815673
2_presence_concat_quantile,w_class,sparse_logistic,8,test,498,191,307,0.5807084264201784,0.4541107400137775
2_presence_concat_quantile,w_class,sparse_logistic,9,test,498,184,314,0.602637773469953,0.458337874323282
2_presence_concat_quantile,w_class,xgb_clf,0,test,533,194,339,0.5405984855396405,0.38172004098769186
2_presence_concat_quantile,w_class,xgb_clf,1,test,534,202,332,0.6129965406179172,0.48319868803786725
2_presence_concat_quantile,w_class,xgb_clf,2,test,550,217,333,0.5766734476411896,0.46985682289862574
2_presence_concat_quantile,w_class,xgb_clf,3,test,514,215,299,0.5640351559461771,0.4739300572439601
2_presence_concat_quantile,w_class,xgb_clf,4,test,526,231,295,0.5878787878787879,0.5250333640290359
2_presence_concat_quantile,w_class,xgb_clf,5,test,528,189,339,0.5669023427135521,0.4362730735989094
2_presence_concat_quantile,w_class,xgb_clf,6,test,531,198,333,0.5974914308247642,0.47779648853366924
2_presence_concat_quantile,w_class,xgb_clf,7,test,538,198,340,0.567944147355912,0.42528846207713905
2_presence_concat_quantile,w_class,xgb_clf,8,test,498,191,307,0.5688217337176186,0.4556299189784241
2_presence_concat_quantile,w_class,xgb_clf,9,test,498,184,314,0.6075360011077264,0.47918931823402383
2_presence_concat_quantile,w_class,mlp_clf_w_class,0,test,533,194,339,0.5880090016117752,0.4272044688895661
2_presence_concat_quantile,w_class,mlp_clf_w_class,1,test,534,202,332,0.6212573064535369,0.4922854998653049
2_presence_concat_quantile,w_class,mlp_clf_w_class,2,test,550,217,333,0.626008496976239,0.49401675187750843
2_presence_concat_quantile,w_class,mlp_clf_w_class,3,test,514,215,299,0.5737108190091,0.5019461383801119
2_presence_concat_quantile,w_class,mlp_clf_w_class,4,test,526,231,295,0.6207205224154376,0.5440823105494633
2_presence_concat_quantile,w_class,mlp_clf_w_class,5,test,528,189,339,0.5882380484150396,0.4476659538515434
2_presence_concat_quantile,w_class,mlp_clf_w_class,6,test,531,198,333,0.614280947614281,0.4767043804562659
2_presence_concat_quantile,w_class,mlp_clf_w_class,7,test,538,198,340,0.595291146761735,0.46182745063892594
2_presence_concat_quantile,w_class,mlp_clf_w_class,8,test,498,191,307,0.6139468253832905,0.4716082144176432
